from_id	to_id	weight
U11641	U11413	1
U10800	U10693	1
U16218	U13061	1
U14711	U11618	1
U13377	U10140	1
U16133	U13204	1
U14112	U13204	1
U13204	U10529	1
U11996	U10821	1
U14814	U13244	1
U15374	U13303	1
U14919	U14738	1
U10849	U10713	1
U12898	U11697	1
U11617	U10868	1
U11823	U10466	1
U15167	U10397	1
U13476	U10800	1
U15016	U13204	1
U12992	U11905	1
U15167	U11259	1
U15016	U13543	1
U14843	U12266	1
U13290	U11027	1
U15721	U12704	1
U13105	U11057	1
U13105	U10171	1
U15027	U10397	1
U14646	U14588	1
U10670	U10154	1
U13871	U10590	1
U14908	U13303	1
U13029	U11637	1
U14869	U13830	1
U14747	U11233	1
U14987	U10551	1
U14747	U10529	1
U14747	U10590	1
U12278	U10781	1
U14893	U13204	1
U11995	U11423	1
U14100	U13891	1
U14905	U14689	1
U13476	U10140	1
U14685	U12339	1
U14107	U11140	1
U14831	U11109	1
U10397	U10171	1
U14100	U11495	1
U14524	U11842	1
U12951	U10397	1
U13873	U11317	1
U10713	U10140	1
U16091	U11637	1
U14193	U14122	1
U14679	U12896	1
U13930	U13232	1
U15478	U12851	1
U14730	U12391	1
U11721	U11697	1
U13342	U11973	1
U11433	U11003	1
U15843	U11233	1
U10918	U10781	1
U11522	U10930	1
U14698	U11540	1
U13204	U12264	1
U14730	U11775	1
U14492	U11193	1
U15412	U12264	1
U14122	U12266	1
U14747	U13487	1
U13196	U10304	1
U11537	U11066	1
U12878	U11292	1
U14057	U11193	1
U14869	U11097	1
U10792	U10647	1
U14679	U13232	1
U11869	U10011	1
U14771	U13487	1
U13204	U11267	1
U14570	U13295	1
U15370	U12478	1
U12896	U11042	1
U14512	U13295	1
U14275	U13342	1
U12278	U11638	1
U10874	U10140	1
U12278	U10171	1
U13087	U10476	1
U15618	U14736	1
U15843	U14534	1
U11659	U11540	1
U14520	U11057	1
U12294	U10299	1
U13891	U10397	1
U11977	U11337	1
U14112	U10721	1
U13476	U13303	1
U14492	U10785	1
U12745	U11869	1
U14259	U12222	1
U13485	U12892	1
