from_id	to_id	weight
U1	U2024	21
U1	U20517	1
U1	U5	2
U1	U83	1
U1	U8370	2
U1002	U3193	2
U10037	U9186	1
U1005	U2516	3
U1005	U2883	2
U1005	U2977	2
U1005	U3147	2
U1005	U766	2
U10061	U10061	2
U10062	U9186	2
U10077	U1006	1
U10077	U2360	1
U10077	U398	2
U10246	U2930	1
U10260	U15943	3
U10260	U17164	3
U10260	U19089	3
U10260	U19096	3
U10260	U19097	3
U10260	U2930	5
U10260	U3704	3
U10260	U3724	3
U10260	U3848	3
U10260	U3850	2
U10260	U3860	3
U10260	U4163	3
U10260	U4703	3
U10260	U5024	3
U10260	U5506	3
U10260	U5596	3
U10260	U7714	3
U10260	U7716	3
U10260	U7721	3
U10260	U7838	1
U10260	U7991	3
U10260	U9203	3
U10260	U9313	1
U10346	U10341	5
U10346	U10346	3
U10346	U10437	5
U10346	U108	5
U10346	U109	5
U10346	U110	5
U10346	U118	5
U10346	U121	3
U10346	U15927	5
U10346	U172	5
U10346	U17771	1
U10346	U190	2
U10346	U235	3
U10346	U248	5
U10346	U265	5
U10346	U278	2
U10346	U283	5
U10346	U28883	5
U10346	U29649	6
U10346	U29704	5
U10346	U29725	5
U10346	U29784	4
U10346	U29789	2
U10346	U29800	5
U10346	U29808	5
U10346	U29814	1
U10346	U29842	2
U10346	U29873	3
U10346	U29879	5
U10346	U30009	5
U10346	U30010	3
U10346	U30011	5
U10346	U30016	6
U10346	U306	2
U10346	U32873	5
U10346	U32909	5
U10346	U32911	5
U10346	U32990	5
U10346	U33011	5
U10346	U33012	5
U10346	U33015	5
U10346	U33017	5
U10346	U33021	5
U10346	U35170	2
U10346	U35540	3
U10346	U35554	3
U10346	U36479	5
U10346	U36600	5
U10346	U36602	2
U10346	U390	5
U10346	U40615	5
U10346	U40617	5
U10346	U41793	3
U10346	U41817	1
U10346	U41918	5
U10346	U41919	5
U10346	U41920	5
U10346	U41923	2
U10346	U41924	5
U10346	U41926	3
U10346	U41927	3
U10346	U41929	2
U10346	U41930	5
U10346	U41932	5
U10346	U41934	2
U10346	U41935	3
U10346	U41936	2
U10346	U41937	2
U10346	U41939	5
U10346	U41941	5
U10346	U41943	5
U10346	U41944	5
U10346	U42193	5
U10346	U42194	5
U10346	U42195	5
U10346	U42196	5
U10346	U42197	5
U10346	U42198	5
U10346	U42199	5
U10346	U42200	3
U10346	U42201	5
U10346	U42202	5
U10346	U42203	5
U10346	U42204	5
U10346	U42205	5
U10346	U42206	5
U10346	U42207	5
U10346	U42208	3
U10346	U42209	3
U10346	U42210	3
U10346	U42211	3
U10346	U42212	5
U10346	U42213	2
U10346	U42214	5
U10346	U42215	5
U10346	U42216	5
U10346	U42217	5
U10346	U42218	5
U10346	U42220	5
U10346	U42221	5
U10346	U42222	5
U10346	U42223	5
U10346	U42224	5
U10346	U42225	5
U10346	U42226	5
U10346	U42227	5
U10346	U42228	5
U10346	U42229	5
U10346	U42230	5
U10346	U42231	5
U10346	U42232	5
U10346	U42233	5
U10346	U42234	2
U10346	U42235	5
U10346	U42236	5
U10346	U42237	5
U10346	U42243	1
U10346	U42244	1
U10346	U42245	3
U10346	U42246	5
U10346	U42247	3
U10346	U463	5
U10346	U465	5
U10346	U69	2
U10346	U71	5
U10346	U8346	5
U10346	U8369	5
U10346	U8627	2
U10346	U9888	2
U10346	U9913	2
U10354	U10388	4
U10354	U112	1
U10354	U172	1
U10354	U17781	1
U10354	U251	2
U10354	U277	1
U10354	U29794	1
U10354	U29796	1
U10354	U29810	1
U10354	U29821	1
U10354	U322	1
U10354	U32864	1
U10354	U32873	1
U10354	U32874	1
U10354	U401	1
U10354	U7659	4
U10354	U8336	1
U10354	U8349	1
U10354	U8627	1
U10354	U9947	1
U10388	U10388	4
U10388	U112	5
U10388	U118	4
U10388	U121	4
U10388	U164	7
U10388	U172	4
U10388	U17781	6
U10388	U193	3
U10388	U197	4
U10388	U208	1
U10388	U235	4
U10388	U251	5
U10388	U277	6
U10388	U288	5
U10388	U29702	4
U10388	U29794	4
U10388	U29796	4
U10388	U29810	4
U10388	U29821	4
U10388	U29921	4
U10388	U322	9
U10388	U323	3
U10388	U32864	4
U10388	U32873	4
U10388	U32874	4
U10388	U390	3
U10388	U401	14
U10388	U7659	3
U10388	U8336	6
U10388	U8346	4
U10388	U8347	4
U10388	U8349	9
U10388	U8627	5
U10388	U95	1
U10392	U29108	1
U10434	U42230	1
U10434	U63102	1
U10434	U63106	1
U10434	U63108	1
U10434	U63150	1
U10434	U7675	1
U10434	U8627	1
U10437	U13649	2
U10437	U2024	1
U10437	U279	2
U10437	U32909	2
U10437	U33008	2
U10437	U42207	1
U10437	U42694	1
U10437	U71	4
U10437	U8319	2
U10437	U8627	4
U1061	U12363	1
U1061	U17299	1
U1061	U17632	1
U1061	U17933	1
U1061	U17934	1
U1061	U1888	2
U1061	U2884	4
U1061	U2887	3
U1061	U2907	1
U1061	U2939	7
U1061	U2956	1
U1061	U2986	4
U1061	U300	2
U1061	U3009	2
U1061	U3117	1
U1061	U3128	4
U1061	U3259	2
U1061	U3670	2
U1061	U395	1
U1061	U7237	1
U1061	U938	5
U1062	U558	1
U1065	U142	2
U1065	U419	1
U1068	U1336	1
U1068	U558	1
U10754	U193	1
U10754	U478	1
U112	U1	1
U112	U181	1
U112	U2024	2
U112	U208	1
U112	U234	2
U112	U2619	1
U112	U277	1
U112	U322	2
U112	U401	6
U112	U51	1
U112	U95	1
