from_id	to_id	weight
U191	U38	1
U179	U168	1
U145	U9	1
U99	U80	1
U145	U4	1
U34	U26	1
U55	U54	1
U86	U15	1
U84	U10	1
U146	U142	1
U298	U38	1
U117	U38	1
U305	U299	1
U395	U106	1
U31	U30	1
U20	U3	1
U239	U53	1
U98	U45	1
U374	U77	1
U159	U17	1
U58	U54	1
U131	U22	1
U174	U22	1
U193	U22	1
U11	U2	1
U202	U65	1
U82	U55	1
U171	U18	1
U283	U27	1
U35	U11	1
U93	U69	1
U45	U23	1
U73	U7	1
U79	U68	1
U70	U11	1
U136	U50	1
U23	U22	1
U173	U61	1
U142	U33	1
U202	U119	1
U165	U26	1
U152	U23	1
U336	U17	1
U69	U62	1
U159	U13	1
U360	U40	1
U166	U22	1
U156	U117	1
U378	U40	1
U21	U8	1
U105	U17	1
U157	U16	1
U136	U13	1
U319	U70	1
U118	U9	1
U159	U148	1
U187	U74	1
U152	U36	1
U310	U182	1
U202	U64	1
U191	U70	1
U49	U38	1
U390	U38	1
U151	U131	1
U154	U72	1
U248	U41	1
U67	U38	1
U153	U36	1
U55	U10	1
U59	U45	1
U49	U39	1
U124	U16	1
U275	U90	1
U207	U82	1
U22	U1	1
U102	U9	1
U187	U7	1
U276	U57	1
U84	U41	1
U151	U56	1
U94	U35	1
U15	U7	1
U300	U117	1
U133	U19	1
U181	U86	1
U230	U23	1
U91	U71	1
U222	U171	1
U191	U27	1
U152	U119	1
U106	U52	1
U170	U166	1
U123	U18	1
U375	U78	1
U305	U65	1
U143	U120	1
U33	U26	1
U250	U35	1
U189	U65	1
U208	U24	1
U103	U82	1
U60	U21	1
U151	U147	1
U330	U314	1
U214	U27	1
U86	U6	1
U116	U20	1
U22	U16	1
U98	U6	1
U97	U65	1
U134	U26	1
U158	U31	1
U99	U35	1
U83	U25	1
U186	U80	1
U40	U21	1
U70	U21	1
U186	U154	1
U178	U167	1
U156	U17	1
U79	U54	1
U325	U15	1
U163	U143	1
U242	U18	1
U195	U39	1
U282	U33	1
U70	U60	1
U174	U116	1
U172	U94	1
U73	U35	1
U68	U59	1
U71	U23	1
U53	U10	1
U208	U71	1
U39	U9	1
U239	U26	1
U130	U9	1
U70	U34	1
U121	U55	1
U147	U6	1
U121	U50	1
U146	U103	1
U182	U79	1
U196	U121	1
U334	U71	1
U58	U45	1
U73	U56	1
U322	U221	1
U56	U36	1
U82	U51	1
U311	U98	1
U159	U40	1
U155	U43	1
U202	U11	1
U237	U15	1
U197	U30	1
U64	U37	1
U138	U118	1
U234	U39	1
U195	U54	1
U198	U82	1
U157	U51	1
U139	U35	1
U51	U16	1
U306	U65	1
U248	U43	1
U189	U30	1
U160	U10	1
U16	U7	1
U79	U52	1
U184	U93	1
U206	U18	1
U143	U87	1
U138	U63	1
U134	U34	1
U229	U14	1
U198	U33	1
U13	U5	1
U196	U35	1
U83	U75	1
U102	U23	1
U18	U17	1
U298	U70	1
U214	U131	1
U243	U172	1
U103	U23	1
U43	U31	1
U143	U94	1
U310	U106	1
U27	U21	1
U151	U72	1
U61	U9	1
U65	U14	1
U52	U10	1
U56	U35	1
U21	U19	1
U301	U20	1
U110	U65	1
U161	U18	1
U23	U3	1
U208	U34	1
U80	U23	1
U107	U38	1
U354	U8	1
U83	U38	1
U62	U45	1
U50	U14	1
U195	U142	1
U170	U15	1
U183	U118	1
U147	U56	1
U106	U9	1
U125	U114	1
U240	U54	1
U50	U25	1
U74	U60	1
U71	U6	1
U272	U114	1
U151	U22	1
U116	U18	1
U122	U94	1
U335	U6	1
U119	U42	1
U121	U67	1
U137	U29	1
U65	U55	1
U79	U46	1
U27	U19	1
U69	U65	1
U104	U8	1
U219	U22	1
U258	U39	1
U81	U35	1
U117	U63	1
U132	U94	1
U23	U19	1
U119	U27	1
U242	U73	1
U208	U33	1
U204	U138	1
U126	U70	1
U60	U6	1
U244	U132	1
U130	U98	1
U137	U9	1
U105	U35	1
U96	U45	1
U158	U10	1
U143	U69	1
U137	U132	1
U63	U16	1
U47	U22	1
U160	U16	1
U240	U36	1
U155	U29	1
U280	U141	1
U178	U95	1
U82	U71	1
U179	U37	1
U141	U64	1
U25	U1	1
U68	U6	1
U37	U18	1
U168	U117	1
U334	U142	1
U192	U41	1
U43	U15	1
U85	U6	1
U86	U43	1
U163	U155	1
U265	U27	1
U138	U119	1
U161	U19	1
U82	U39	1
U65	U58	1
U265	U237	1
U212	U39	1
U138	U35	1
U191	U41	1
U155	U36	1
U172	U6	1
U173	U143	1
U173	U65	1
U133	U49	1
U27	U14	1
U72	U59	1
U168	U38	1
U269	U56	1
U231	U26	1
U94	U36	1
U118	U117	1
U199	U131	1
U280	U58	1
U72	U5	1
U30	U15	1
U329	U70	1
U174	U72	1
U132	U63	1
U100	U22	1
U45	U22	1
U144	U91	1
U33	U3	1
U55	U25	1
U110	U80	1
U59	U40	1
U148	U119	1
U173	U35	1
U114	U20	1
U275	U37	1
U47	U5	1
U169	U6	1
U104	U43	1
U91	U55	1
U56	U32	1
U60	U38	1
U176	U19	1
U1	U0	1
U142	U112	1
U164	U21	1
U239	U72	1
U45	U12	1
U123	U15	1
U155	U45	1
U237	U151	1
U261	U56	1
U333	U72	1
U180	U8	1
U47	U20	1
U57	U35	1
U110	U54	1
U336	U79	1
U108	U55	1
U24	U19	1
U141	U12	1
U182	U106	1
U103	U15	1
U139	U54	1
U240	U86	1
U154	U55	1
U89	U80	1
U139	U27	1
U162	U38	1
U193	U94	1
U168	U65	1
U169	U30	1
U179	U91	1
U145	U34	1
U80	U56	1
U207	U174	1
U90	U73	1
U155	U8	1
U94	U38	1
U118	U96	1
U116	U79	1
U76	U68	1
U138	U111	1
U105	U45	1
U149	U55	1
U45	U43	1
U94	U33	1
U271	U141	1
U244	U26	1
U38	U15	1
U319	U314	1
U169	U45	1
U131	U38	1
U55	U21	1
U121	U27	1
U172	U138	1
U184	U183	1
U106	U79	1
U365	U354	1
U384	U78	1
U186	U178	1
U62	U20	1
U137	U34	1
U173	U122	1
U20	U17	1
U344	U100	1
U274	U44	1
U87	U6	1
U151	U31	1
U163	U160	1
U104	U98	1
U50	U46	1
U165	U80	1
U191	U4	1
U38	U21	1
U169	U142	1
U102	U41	1
U190	U45	1
U85	U38	1
U160	U20	1
U228	U78	1
U285	U88	1
U275	U57	1
U220	U67	1
U143	U106	1
U212	U15	1
U163	U30	1
U94	U14	1
U163	U103	1
U173	U52	1
U80	U61	1
U53	U23	1
U110	U87	1
U91	U36	1
U97	U83	1
U143	U119	1
U14	U13	1
U105	U79	1
U19	U11	1
U194	U33	1
U142	U116	1
U200	U142	1
U38	U35	1
U190	U27	1
U142	U119	1
U73	U8	1
U148	U26	1
U141	U37	1
U123	U101	1
U40	U11	1
U69	U40	1
U126	U105	1
U101	U21	1
U132	U13	1
U163	U131	1
U40	U8	1
U131	U45	1
U178	U118	1
U73	U22	1
U198	U16	1
U53	U20	1
U154	U85	1
U211	U38	1
U132	U102	1
U35	U7	1
U243	U122	1
U91	U20	1
U241	U27	1
U37	U35	1
U194	U138	1
U114	U65	1
U87	U24	1
U24	U1	1
U172	U121	1
U179	U7	1
U213	U106	1
