from_id	to_id	weight
U10	U13	1
U100	U1927	1
U100	U7059	1
U1000	U2065	2
U10010	U10113	2
U10010	U15672	1
U10010	U24630	1
U10016	U12090	1
U10020	U16274	1
U10021	U11296	1
U10023	U11772	2
U10023	U16493	1
U10023	U16494	1
U10023	U16497	2
U10025	U11109	1
U1003	U3193	1
U10032	U19131	1
U10033	U11868	2
U1004	U3331	1
U10044	U11096	1
U10047	U19990	1
U1005	U17340	1
U1005	U3192	2
U10050	U13367	1
U10050	U15210	1
U10050	U20406	1
U10054	U13987	1
U10055	U36352	1
U10062	U12931	1
U10062	U13846	1
U10062	U14013	1
U10064	U23167	1
U10065	U19073	1
U10070	U12911	1
U10070	U16383	1
U10070	U17787	1
U10070	U20973	1
U10070	U21201	2
U10070	U24010	1
U10070	U24410	2
U10070	U26594	1
U10070	U27933	1
U10070	U28033	1
U10070	U32032	1
U10070	U40166	1
U10071	U10079	1
U10071	U10081	1
U10071	U15675	1
U10071	U20095	1
U10073	U14568	1
U10073	U43606	2
U10075	U27941	1
U10075	U38822	1
U10076	U19068	1
U10076	U25975	2
U10076	U26994	2
U10076	U29723	1
U10078	U19070	2
U10078	U26967	1
U10079	U10081	2
U10079	U10906	1
U10079	U11133	1
U10079	U18877	1
U10079	U19068	1
U10079	U23878	2
U10079	U26959	1
U10079	U26994	1
U10079	U27245	1
U10080	U10081	1
U10081	U10103	1
U10081	U10127	2
U10081	U11847	2
U10081	U11876	2
U10081	U13871	1
U10081	U15643	1
U10081	U22707	1
U10081	U22987	1
U10081	U25073	1
U10081	U25077	2
U10081	U26167	2
U10081	U27047	1
U10081	U27063	1
U10084	U46781	1
U1009	U10422	1
U10093	U10662	1
U10093	U18456	1
U10096	U20211	1
U10098	U12336	1
U101	U1947	1
U1010	U1027	1
U1010	U38503	2
U10100	U26519	1
U10101	U13653	1
U10103	U25073	1
U10103	U27040	1
U10104	U33423	1
U10113	U11149	1
U10113	U11636	1
U10113	U11654	1
U10113	U16569	2
U10113	U17604	2
U10113	U18290	1
U10113	U20082	1
U10113	U20265	2
U10113	U21598	1
U10113	U23047	1
U10113	U24630	2
U10113	U26149	1
U10113	U26297	2
U10113	U26911	1
U10113	U28802	2
U10113	U33058	1
U10113	U39392	1
U10113	U39487	1
U10113	U42560	1
U10115	U12260	2
U10116	U32161	2
U10117	U10952	2
U10124	U25462	1
U10124	U26233	1
U10127	U24803	2
U10140	U10154	1
U10140	U13481	1
U10145	U15844	2
U10148	U30753	2
U1015	U3196	1
U10151	U11787	1
U10151	U11826	2
U10151	U25203	1
U10151	U28352	1
U10153	U15354	1
U10154	U10815	1
U10154	U11488	2
U10154	U11493	1
U10155	U17302	1
U10155	U19404	1
U10155	U19531	1
U10161	U19495	2
U1017	U12410	1
U10178	U20957	1
U10180	U20104	1
U10184	U24092	1
U10188	U21673	1
U10189	U14416	1
U10192	U15159	2
U10192	U26832	1
U10192	U28505	1
U10192	U29818	2
U10193	U39940	1
U10195	U11013	1
U10197	U24789	1
U10206	U12701	1
U10208	U21667	1
U1021	U1900	1
U1021	U4359	2
U1021	U4941	1
U1021	U5935	1
U10210	U13731	2
U10210	U41224	2
U10211	U10521	2
U10211	U12726	1
U10211	U16041	1
U10211	U18057	1
U10212	U12582	1
U10212	U12798	1
U10212	U44874	2
U10219	U19411	1
U10219	U24638	1
U10219	U24646	2
U10220	U21361	1
U10220	U22055	1
U10220	U39088	1
U10220	U39787	1
U10221	U16919	1
U10222	U14787	1
U10225	U23155	2
U10227	U11510	1
U10232	U10241	1
U10233	U11760	1
U10233	U53925	1
U10235	U10236	1
U10235	U29066	2
U10235	U50555	1
U10235	U50556	1
U10236	U29066	1
U10236	U50556	1
U10239	U29476	2
U10241	U24582	1
U10245	U24654	2
U10245	U32677	2
U1025	U35901	1
U10255	U31224	1
U10255	U33072	1
U10259	U10340	1
U10259	U20778	1
U10259	U22279	2
U10259	U25206	1
U10262	U25542	1
U10264	U10934	2
U10264	U11543	1
U10264	U24362	1
U10264	U31215	1
U10267	U19104	1
U10268	U15867	2
U10268	U19517	1
U10274	U10276	2
U1028	U1595	1
U1028	U28138	2
U1028	U31510	2
U10284	U35588	1
U10293	U11706	1
U10293	U15066	2
U10293	U17849	1
U10293	U23109	1
U10293	U29433	1
U10294	U32096	1
U10301	U17369	1
U10312	U12750	1
U10313	U10545	1
U10329	U11799	1
U10329	U15592	1
U10329	U19422	1
U10330	U10915	1
U10331	U20819	1
U10331	U32957	1
U10333	U15323	1
U10335	U26424	1
U10340	U19517	1
U10340	U25263	2
U10340	U30271	2
U1035	U1048	1
U10355	U10695	1
U10355	U35548	1
U10356	U36900	1
U10360	U21642	1
U10362	U24159	1
U10362	U39423	2
U10363	U21642	2
U10364	U10365	1
U10364	U10366	2
U10364	U13121	1
U10364	U16889	1
U10364	U21642	1
U10364	U32797	1
U10364	U37419	2
U10364	U39581	1
U10365	U16889	1
U10366	U26967	1
U10373	U27022	1
U10373	U37200	1
U10374	U11504	1
U10374	U13365	1
U10374	U17571	1
U10374	U26276	1
U10377	U45205	1
U10389	U16274	1
U10392	U16721	1
U10392	U18272	1
U10392	U32351	2
U10396	U51230	1
U10401	U18632	2
U10404	U14703	1
U10404	U21742	1
U1041	U1103	2
U1041	U9201	1
U1041	U9202	2
U1041	U9203	2
U10410	U13863	1
U10411	U21742	1
U10411	U37190	1
U1042	U3741	1
U10422	U12297	1
U10422	U14819	1
U10422	U36699	1
U10422	U51697	1
U10422	U52548	1
U10422	U54774	1
U10424	U18829	1
U10431	U10446	2
U1044	U9022	1
U10447	U12536	1
U10447	U31417	1
U10449	U17541	2
U1046	U20809	1
U1046	U30490	1
U1046	U8603	1
U10468	U25993	1
U10470	U30246	1
U10475	U36769	1
U10476	U19723	1
U10477	U17142	1
U10477	U25329	2
U10477	U25993	2
U10479	U25329	1
U10481	U18208	2
U10481	U25329	1
U10486	U16528	1
U10486	U40403	1
U10486	U45285	1
U10487	U11316	1
U10487	U24431	1
U10487	U33034	1
U10532	U14901	1
U10533	U26193	1
U10536	U11398	1
U10538	U21870	1
U10540	U28515	1
U10543	U11660	1
U1056	U7460	2
U10566	U43736	1
U1057	U12106	1
U1057	U3273	2
U1057	U4059	1
U10575	U27074	1
U10581	U15948	1
U10589	U45368	2
U10605	U12252	1
U10606	U30633	1
U10606	U33821	1
U10635	U16928	1
U10650	U11844	1
U10650	U53847	1
U10657	U14897	1
U10657	U15672	1
U10657	U16702	1
U10657	U19786	1
U10657	U29476	2
U10657	U39088	2
U10661	U12779	1
U10675	U22299	2
U10677	U17914	1
U10677	U30118	1
U10679	U11614	1
U10679	U11844	1
U10679	U14948	1
U10679	U30215	2
U10680	U10700	2
U10680	U12390	2
U10681	U15600	2
U107	U130	2
U10700	U27469	1
U10726	U45232	1
U10729	U19404	2
U10737	U15270	1
U10737	U22793	1
U10739	U17416	2
U1074	U2887	1
U10740	U20408	1
U10740	U27826	1
U10747	U13880	1
U10747	U24211	1
U10753	U18596	2
U10757	U10762	2
U10757	U35006	2
U10757	U37305	1
U1080	U1404	1
U1080	U5167	1
U1080	U5721	2
U1080	U5767	1
U10809	U24811	1
U1081	U4857	1
U1081	U5377	1
U10810	U10952	1
U10810	U19682	1
U10811	U36613	1
U10812	U14083	1
U10813	U13008	1
U10813	U16577	1
U10813	U22670	1
U10816	U22389	2
U10816	U23143	1
U10816	U28201	1
U10817	U20579	1
U10817	U27073	1
U10817	U29994	1
U10819	U20896	1
U1082	U1094	1
U10824	U27396	2
U10834	U12818	1
U10834	U27981	1
U10834	U40811	1
U1084	U17740	1
U10840	U17901	1
U10840	U25612	2
U10846	U15080	1
U1085	U11660	1
U1085	U15672	1
U1085	U5772	1
U1086	U6447	1
U1087	U1464	1
U1087	U5721	1
U1087	U9341	1
U10870	U17911	1
U10872	U12515	1
U10882	U19753	1
U10883	U12549	2
U10883	U14421	2
U10884	U13188	1
U10884	U13205	2
U10884	U16943	1
U10884	U17246	2
U10884	U19547	1
U10884	U23961	1
U10884	U24970	1
U10884	U25804	1
U10884	U31932	2
U10885	U12269	1
U10885	U16043	1
U10885	U32080	1
U10886	U17009	1
U10886	U27188	1
U10888	U12514	1
U10889	U10915	1
U1089	U7055	1
U1089	U7583	1
U10890	U20809	1
U10891	U10915	1
U10891	U14660	1
U10891	U15234	1
U10891	U15236	2
U10891	U16534	1
U10891	U17118	1
U10891	U17243	1
U10891	U17245	1
U10891	U19042	2
U10891	U19686	2
U10891	U20778	2
U10891	U20779	1
U10891	U32291	2
U10892	U11823	1
U10893	U28024	2
U10893	U32492	1
U10894	U22916	2
U10896	U11524	1
U10896	U11630	1
U10896	U11860	1
U10896	U11868	1
U10896	U20306	1
U10897	U10915	1
U10898	U30734	2
U10899	U25258	1
U10899	U25263	1
U109	U20399	1
U1090	U24666	1
U1090	U24944	2
U1090	U5885	2
U10900	U24981	1
U10902	U10927	1
U10906	U12269	1
U10906	U16375	1
U10906	U18856	1
U10906	U19069	2
U10906	U24004	1
U10907	U10910	1
U10907	U10915	1
U10907	U10926	1
U10907	U10950	1
U10907	U10952	2
U10908	U22295	1
U10908	U22299	2
U10908	U27396	1
U10909	U10915	1
U10910	U10952	1
U10910	U20130	1
U10910	U20161	1
U10910	U29378	1
U10910	U32667	1
U10910	U36378	1
U10911	U10915	1
U10911	U10934	2
U10911	U25277	1
U10912	U20889	1
U10915	U10921	1
U10915	U10934	1
U10915	U10949	1
U10915	U10952	1
U10915	U12316	1
U10915	U12971	1
U10915	U15237	1
U10915	U18104	1
U10915	U36378	1
U10916	U26952	1
U10918	U20846	1
U10918	U24653	2
U10918	U27189	2
U10918	U34986	1
U10919	U30132	1
U10919	U34721	2
U10920	U13015	2
U10920	U34019	1
U10921	U16574	1
U10921	U36404	1
U10922	U10939	1
U10922	U10952	1
U10922	U26874	2
U10923	U17787	1
U10925	U10950	1
U10925	U14690	1
U10926	U31788	1
U10927	U18650	1
U10927	U20338	1
U10927	U22289	1
U10930	U10952	1
U10934	U10952	2
U10934	U11543	2
U10934	U13007	1
U10934	U14145	1
U10934	U17243	1
U10934	U19538	1
U10934	U19772	1
U10934	U21988	1
U10934	U24436	1
U10934	U36073	2
U10936	U14693	1
U10936	U15404	2
U10936	U21197	1
U10936	U22251	1
U10936	U27189	1
U10936	U27486	1
U10937	U19044	1
U10937	U22669	2
U10939	U19405	1
U10939	U27816	1
U1094	U11048	1
U1094	U5754	2
U1094	U5871	1
U1094	U6542	1
U1094	U8476	2
U1094	U8479	1
U1094	U8484	1
U1094	U9243	1
U1094	U9341	2
U10941	U15600	2
U10948	U10952	1
U10948	U20411	1
U10948	U22914	1
U10948	U26194	1
U10949	U11678	1
U10949	U12328	1
U10949	U14666	2
U10949	U15282	1
U10949	U15588	1
U10949	U16088	1
U10949	U16092	1
U10949	U18118	1
U10949	U19531	1
U10949	U19538	1
U10949	U19575	2
U10949	U20797	1
U10949	U20798	1
U10949	U20800	1
U10949	U22302	1
U10949	U25248	1
U10949	U25249	1
U10949	U25271	1
U10949	U26864	1
U10949	U26875	1
U10949	U27390	1
U10949	U27396	2
U10949	U32159	2
U10949	U34847	1
U10949	U36333	2
U10949	U36846	2
U1095	U18038	1
U10950	U11831	1
U10950	U16541	1
U10950	U17184	1
U10950	U23186	1
U10950	U25247	1
U10950	U33811	1
U10950	U36861	1
U10952	U11274	2
U10952	U13007	1
U10952	U14145	1
U10952	U14666	1
U10952	U14690	2
U10952	U15333	1
U10952	U16092	2
U10952	U22303	1
U10952	U22336	2
U10952	U25750	1
U10952	U36451	1
U10952	U36518	1
U10964	U50528	1
U1099	U11562	1
U1099	U25179	1
U1099	U4591	1
U10997	U15644	2
U11	U2291	1
U11006	U49761	2
U11008	U18901	1
U11008	U24801	1
U11013	U12022	1
U11015	U21642	2
U11015	U27342	1
U11015	U27343	1
U11016	U24999	1
U11017	U26311	1
U11018	U21642	2
U11018	U27343	2
U11019	U33901	1
U11020	U34199	1
U11020	U34490	1
U11021	U30826	1
U11021	U34490	1
U11024	U33635	2
U11025	U14342	1
U11025	U22534	1
U11029	U15245	1
U1103	U10682	1
U1103	U10891	1
U1103	U1133	2
U1103	U11695	2
U1103	U11992	2
U1103	U14214	1
U1103	U14979	2
U1103	U15237	1
U1103	U15238	1
U1103	U15382	1
U1103	U15563	1
U1103	U16518	1
U1103	U16530	1
U1103	U17295	1
U1103	U1907	1
U1103	U19680	1
U1103	U1989	2
U1103	U20530	1
U1103	U20813	2
U1103	U20815	2
U1103	U20834	1
U1103	U22912	1
U1103	U25155	2
U1103	U25230	2
U1103	U27183	1
U1103	U27754	2
U1103	U33246	1
U1103	U3582	1
U1103	U3620	1
U1103	U3888	1
U1103	U3910	1
U1103	U3986	1
U1103	U3997	2
U1103	U4299	1
U1103	U4855	1
U1103	U4956	1
U1103	U5056	1
U1103	U5077	1
U1103	U5106	1
U1103	U5405	2
U1103	U5423	1
U1103	U5448	1
U1103	U5468	1
U1103	U5483	1
U1103	U6748	2
U1103	U7072	1
U1103	U7104	1
U1103	U7531	2
U1103	U7532	2
U1103	U7591	1
U1103	U8180	1
U1103	U8885	1
U1103	U9213	1
U1103	U9686	1
U1103	U9802	1
U1103	U9806	1
U1103	U9807	1
U1103	U9811	2
U11030	U11380	1
U11031	U20174	2
U11036	U11037	1
U11037	U17334	1
U11038	U16030	1
U11038	U33721	1
U11039	U12025	1
U11040	U12034	1
U11040	U15677	1
U11042	U16030	1
U11043	U28917	2
U11048	U13027	1
U11048	U25611	2
U11062	U11064	2
U11062	U11814	2
U11062	U20955	1
U11062	U25357	1
U11062	U36553	1
U11062	U36769	2
U11064	U36769	1
U11065	U21163	1
U11065	U32677	1
U11065	U32828	1
U11069	U38822	2
U11071	U27933	2
U11071	U29648	1
U11071	U38822	2
U11076	U19420	1
U11078	U26895	1
U11079	U12273	1
U1108	U38075	2
U11082	U28025	1
U11083	U11752	1
U11083	U27612	1
U11094	U25456	1
U11095	U32515	1
U11096	U16412	1
U11107	U16300	1
U11108	U19786	1
U11111	U18886	1
U11113	U26994	2
U11114	U15672	1
U11114	U20371	2
U11119	U13882	1
U11120	U26233	2
U11122	U11133	1
U11123	U18887	2
U11123	U35219	1
U11124	U24114	1
U11126	U16324	1
U11126	U16554	1
U11126	U19794	1
U11130	U17735	1
U11133	U13883	1
U11133	U19068	1
U11135	U11749	1
U11136	U25839	1
U11144	U12269	1
U11145	U20283	2
U11145	U31586	1
U11145	U33181	1
U11146	U24938	1
U11146	U26959	1
U11147	U19786	1
U11148	U23380	1
U11149	U11853	1
U11149	U20257	1
U11149	U22687	2
U11149	U22963	2
U11149	U23047	1
U11149	U27041	1
U11149	U28895	1
U11149	U29366	1
U11149	U32066	1
U11149	U44794	1
U11150	U20290	1
U11150	U21980	1
U11150	U33821	1
U11151	U28895	1
U11152	U24311	1
U11152	U32513	1
U11152	U33447	2
U11163	U24159	1
U11164	U14422	1
U11164	U21642	2
U11165	U22367	1
U11166	U14421	1
U11168	U21742	2
U11168	U26967	1
U11168	U34061	2
U11169	U26675	2
U11170	U26675	1
U11170	U45866	1
U11172	U35244	1
U11172	U38872	2
U112	U12467	2
U112	U12543	2
U112	U14314	2
U112	U17728	1
U112	U26594	1
U112	U386	1
U1121	U10742	1
U11216	U21742	2
U11224	U16291	1
U11224	U24004	1
U11228	U24944	1
U1123	U4392	1
U11230	U13393	1
U11231	U13180	1
U11236	U11238	1
U11238	U32979	1
U11239	U11931	1
U1124	U3674	1
U11245	U14024	1
U11245	U52624	1
U11245	U52626	1
U11247	U33098	1
U11247	U43723	1
U11257	U27611	1
U11260	U11615	1
U11260	U19422	1
U11260	U22299	1
U11260	U36246	2
U11260	U36247	1
U11263	U20785	2
U11263	U22678	1
U11268	U14107	1
U11268	U14696	1
U11268	U15582	1
U11268	U22299	2
U11268	U27197	1
U11268	U36772	1
U11270	U34968	2
U11271	U16577	1
U11271	U23429	1
U11271	U27661	1
U11271	U29051	1
U11271	U30215	2
U11271	U32421	2
U11271	U33979	1
U11274	U19786	1
U11274	U21988	1
U11274	U22295	1
U11274	U22323	1
U11274	U34986	1
U11274	U44830	1
U11296	U23215	2
U1130	U21723	1
U1130	U35478	2
U11315	U32026	1
U11316	U20025	2
U11317	U16290	2
U11317	U35488	1
U11318	U16673	2
U11319	U31904	1
U11321	U26864	1
U11321	U37590	1
U11321	U37725	1
U11324	U17343	1
U11324	U20289	1
U11324	U20307	1
U11324	U28366	2
U11324	U39046	1
U11325	U23396	1
U11325	U46301	1
U11326	U23112	1
U11326	U26373	1
U11337	U20996	2
U11338	U12310	1
U11338	U12311	2
U11338	U15972	1
U11338	U29492	2
U11338	U51653	1
U11347	U22050	1
U11347	U22263	2
U11347	U48955	1
U1135	U2185	1
U1137	U1317	1
U1137	U1953	1
U1137	U2402	2
U1137	U4402	1
U11377	U39745	1
U11378	U11843	1
U11378	U12467	1
U11379	U11494	1
U11380	U11752	2
U11382	U12607	1
U11384	U12588	1
U11388	U16030	1
U11389	U18429	1
U11389	U21972	2
U11389	U24689	2
U11389	U26564	2
U11389	U29864	1
U11390	U32317	2
U11391	U16323	1
U11391	U28668	1
U11392	U16316	1
U11392	U20378	1
U11398	U12211	1
U11398	U35086	2
U114	U117	1
U11414	U12778	2
U11450	U18632	1
U11451	U11761	2
U11453	U11660	2
U11453	U11723	1
U11453	U13481	1
U11453	U16569	1
U11453	U19184	1
U11453	U19411	2
U11453	U21514	1
U11453	U26332	1
U11453	U32607	1
U11463	U11893	1
U11463	U20938	1
U11467	U48319	1
U11491	U17107	1
U11491	U20889	1
U11492	U17107	1
U11493	U24364	1
U11494	U15588	1
U11494	U20798	1
U11494	U20846	1
U11494	U27123	1
U11494	U27800	1
U11494	U36333	1
U11496	U12269	1
U11498	U16562	1
U11498	U19757	1
U115	U24121	1
U11502	U11527	2
U11503	U14311	1
U11504	U26356	1
U11508	U15112	1
U1151	U6033	1
U1151	U6974	1
U11510	U15678	2
U11511	U15678	2
U11512	U11527	1
U11517	U24517	2
U11517	U37328	1
U11518	U18243	1
U1152	U2816	1
U11520	U12467	2
U11520	U24306	1
U11520	U24309	1
U11521	U11859	1
U11521	U12695	1
U11522	U13888	2
U11522	U20305	1
U11524	U20306	1
U11525	U14413	1
U11526	U11652	1
U11526	U13799	1
U11527	U11630	2
U11527	U18500	1
U11527	U19130	1
U11527	U19159	2
U11527	U26362	1
U11527	U37975	1
U11531	U25038	1
U11533	U23945	2
U11534	U20111	1
U11534	U33050	1
U11534	U39165	1
U11535	U15317	1
U11535	U19575	1
U11535	U24977	1
U11543	U11814	1
U11543	U13007	1
U11543	U13188	2
U11543	U13425	1
U11543	U18650	2
U11543	U19411	1
U11543	U19485	2
U11543	U19512	2
U11543	U19772	1
U11543	U19776	2
U11543	U19783	2
U11543	U20344	1
U11543	U20763	1
U11543	U20785	1
U11543	U24362	1
U11543	U24436	1
U11543	U25082	1
U11543	U25224	2
U11543	U25665	1
U11543	U26822	1
U11543	U26950	2
U11543	U28986	2
U11543	U31050	1
U11543	U31215	1
U11543	U34731	1
U11543	U34961	2
U11543	U36246	1
U11543	U37770	2
U11544	U16178	1
U11544	U24843	1
U11545	U54073	1
U11549	U19410	1
U11549	U19571	1
U11550	U22669	2
U11554	U12252	1
U11554	U27477	1
U11554	U39791	2
U11556	U12816	1
U11558	U16568	1
U11558	U23879	1
U11558	U24583	1
U11558	U31740	1
U11562	U19720	2
U11565	U27101	1
U11566	U20404	1
U11566	U28801	1
U11571	U14522	1
U11597	U37374	1
U11599	U11933	1
U116	U21810	2
U11601	U18903	1
U11605	U11612	1
U11606	U15342	1
U11606	U30808	2
U11610	U24460	1
U11610	U32076	1
U11613	U20000	2
U11613	U26360	1
U11614	U15335	1
U11614	U30806	1
U11614	U41894	1
U11615	U19495	1
U11615	U22295	1
U11615	U22299	1
U11615	U24473	1
U11615	U25663	1
U11615	U26864	2
U11615	U36320	1
U11627	U11628	1
U11627	U11633	1
U11627	U11637	1
U11627	U11639	1
U11630	U24803	1
U11630	U27040	1
U11631	U15672	1
U11631	U16555	1
U11631	U27040	1
U11632	U11868	1
U11632	U11931	2
U11633	U18887	1
U11635	U33172	1
U11636	U25459	1
U11637	U19411	1
U11637	U19420	1
U11637	U24689	2
U11637	U26411	2
U11639	U29476	1
U11644	U17451	1
U11644	U26355	1
U11644	U31846	1
U11645	U11950	1
U11646	U20306	1
U11647	U29650	2
U11648	U16569	1
U11648	U40171	1
U11649	U11660	2
U11649	U12254	1
U11649	U13935	2
U11649	U13988	1
U11649	U20433	1
U11649	U24638	1
U11649	U26232	1
U11649	U28048	1
U1165	U5567	1
U11650	U20064	2
U11650	U26915	2
U11651	U15404	1
U11651	U21360	1
U11651	U21361	1
U11651	U26080	2
U11652	U14682	1
U11652	U31297	2
U11652	U48321	1
U11654	U16555	1
U11654	U16569	1
U11654	U33354	2
U11660	U12467	1
U11660	U19411	1
U11660	U24638	1
U11660	U24918	1
U11660	U32432	1
U11663	U18420	1
U11666	U35023	1
U11666	U39980	1
U11670	U17572	1
U11677	U20237	1
U11678	U12999	2
U11681	U13425	1
U11681	U17107	1
U11681	U19474	1
U11684	U31855	2
U11684	U36567	1
U11684	U43952	2
U11690	U13617	1
U11697	U16279	1
U11702	U13009	1
U11706	U14144	1
U11706	U23109	2
U11710	U19367	2
U11710	U21985	1
U11710	U31727	1
U11710	U33234	1
U11714	U21170	1
U11714	U23897	1
U11715	U26882	1
U11715	U32604	2
U11720	U24607	2
U11720	U24801	2
U11722	U11869	1
U11722	U16702	1
U11722	U20291	2
U11722	U24436	1
U11722	U25073	2
U11723	U25329	1
U11723	U31750	1
U11727	U26138	1
U11730	U11731	2
U11730	U32604	2
U11731	U17240	1
U11731	U19807	2
U11733	U11737	1
U11734	U27093	1
U11735	U22140	1
U11736	U11743	1
U11736	U23467	1
U11737	U33747	1
U11739	U30926	2
U11740	U14367	1
U11741	U23467	1
U11741	U33447	1
U11743	U14338	1
U11743	U27380	2
U11743	U41242	1
U11744	U16712	1
U11744	U22156	1
U11746	U20002	2
U11746	U24517	1
U11746	U25013	1
U11746	U27380	1
U11748	U39057	1
U11749	U20319	1
U11752	U13883	1
U11752	U36043	1
U11752	U42029	1
U11753	U20000	1
U11753	U20371	1
U11755	U12569	1
U11755	U14024	1
U11755	U15522	1
U11755	U22145	1
U11755	U24305	1
U11755	U24517	1
U11755	U30928	1
U11755	U47942	1
U11756	U24517	2
U11756	U26360	1
U1176	U12678	1
