from_id	to_id	weight
U100	U100	1
U1004	U1004	1
U1004	U24955	2
U10076	U10076	11
U10076	U13139	1
U10076	U16943	1
U10076	U17495	1
U10076	U22675	1
U10076	U27282	3
U10076	U27398	1
U10076	U3525	1
U10076	U4144	1
U10076	U7060	1
U10076	U9164	1
U10076	U9833	1
U10095	U10095	3
U10095	U26935	3
U10095	U6094	3
U10194	U10194	6
U10194	U23950	2
U10194	U24759	2
U10194	U26923	1
U10194	U26966	1
U10194	U27041	3
U10194	U27228	1
U10194	U27253	1
U10194	U8103	3
U10201	U10201	1
U1021	U19475	1
U1021	U5743	1
U10251	U10251	2
U10251	U11142	1
U10251	U23232	1
U10251	U6506	1
U10265	U10265	6
U10265	U11555	1
U10265	U16143	1
U10265	U22131	1
U10265	U22750	2
U10265	U23291	2
U10265	U7631	1
U10265	U8430	1
U10265	U8923	1
U10266	U21857	1
U10277	U10277	2
U10290	U10290	2
U10330	U13441	1
U10330	U21684	1
U10330	U24644	1
U10335	U6045	1
U10365	U12337	1
U10366	U11546	1
U10366	U1345	1
U10366	U27253	1
U10400	U10400	6
U10400	U19801	1
U10400	U20782	1
U10400	U25947	1
U10400	U2666	1
U10400	U36285	1
U10400	U4117	1
U10400	U450	1
U10400	U5301	1
U10400	U6753	7
U1044	U1763	1
U1044	U27637	1
U10446	U10446	22
U10446	U14450	10
U10446	U16750	1
U10446	U18060	3
U10446	U21180	2
U10446	U21684	1
U10446	U22049	2
U10446	U22051	1
U10446	U25080	2
U10446	U25510	2
U10446	U27261	1
U10446	U27522	2
U10446	U27577	2
U10446	U36067	1
U10446	U391	2
U10446	U4096	1
U10446	U4231	1
U10446	U430	3
U10446	U50973	2
U10446	U6045	1
U10446	U630	3
U10446	U7772	1
U10446	U8380	2
U1047	U913	1
U10475	U1790	1
U10475	U7538	1
U1048	U391	2
U10503	U24928	1
U10503	U26954	1
U10503	U27272	1
U10503	U4002	1
U1055	U2191	1
U1056	U1056	3
U1056	U18420	1
U1056	U23862	2
U1056	U27009	1
U1056	U27459	1
U1056	U431	1
U1058	U4423	2
U1059	U7538	1
U1061	U27400	2
U1061	U431	1
U10610	U10610	1
U10610	U14514	2
U10610	U1887	1
U10610	U19770	1
U10610	U26874	1
U10610	U5259	1
U10610	U6953	1
U10610	U7460	1
U10610	U8003	1
U10610	U943	1
U10670	U10446	1
U10696	U6506	1
U10696	U766	1
U10707	U10707	1
U10708	U10708	1
U10708	U5697	2
U10708	U6085	1
U10744	U21398	1
