from_id	to_id	weight
U1	U2	1
U3	U4	1
U5	U2	1
U6	U7	1
U8	U7	1
U9	U10	1
U9	U11	1
U12	U13	1
U9	U14	1
U9	U15	1
U9	U16	1
U9	U17	1
U9	U14	1
U9	U18	1
U19	U18	1
U20	U21	1
U19	U22	1
U8	U23	1
U9	U24	1
U9	U22	1
U25	U21	1
U26	U7	1
U27	U28	1
U29	U25	1
U30	U31	1
U30	U31	1
U30	U31	1
U30	U31	1
U32	U33	1
U34	U35	1
U34	U33	1
U36	U37	1
U38	U39	1
U36	U40	1
U41	U15	1
U41	U11	1
U41	U14	1
U41	U13	1
U41	U39	1
U41	U42	1
U41	U43	1
U9	U40	1
U44	U45	1
U46	U22	1
U44	U46	1
U47	U46	1
U48	U46	1
U9	U49	1
U36	U50	1
U44	U51	1
U32	U52	1
U36	U32	1
U53	U54	1
U36	U55	1
U56	U57	1
U36	U32	1
U36	U58	1
U44	U59	1
U51	U58	1
U44	U14	1
U36	U56	1
U36	U60	1
U56	U61	1
U62	U50	1
U36	U60	1
U32	U59	1
U36	U60	1
U36	U50	1
U41	U63	1
U41	U64	1
U41	U65	1
U41	U56	1
U41	U61	1
U41	U43	1
U41	U52	1
U41	U58	1
U41	U59	1
U9	U64	1
U9	U58	1
U12	U66	1
U32	U58	1
U12	U66	1
U67	U32	1
U41	U32	1
U67	U32	1
U32	U68	1
U68	U56	1
U67	U32	1
U67	U32	1
U68	U61	1
U67	U32	1
U67	U8	1
U69	U67	1
U70	U51	1
U44	U50	1
U67	U32	1
U71	U58	1
U71	U72	1
U51	U58	1
U72	U71	1
U73	U74	1
U74	U73	1
U73	U74	1
U74	U73	1
U34	U58	1
U44	U75	1
U44	U75	1
U9	U58	1
U73	U74	1
U9	U76	1
U32	U77	1
U41	U76	1
U41	U78	1
U79	U48	1
U79	U63	1
U41	U80	1
U79	U58	1
U41	U81	1
U79	U70	1
U19	U82	1
U19	U72	1
U12	U32	1
U19	U64	1
U19	U58	1
U19	U58	1
U19	U58	1
U19	U52	1
U83	U59	1
U51	U70	1
U38	U58	1
U41	U58	1
U63	U79	1
U41	U63	1
U67	U59	1
U41	U63	1
U41	U58	1
U44	U84	1
U19	U85	1
U19	U72	1
U3	U84	1
U19	U8	1
U19	U58	1
U84	U86	1
U83	U58	1
U36	U60	1
U86	U48	1
U87	U63	1
U36	U88	1
U87	U8	1
U36	U89	1
U90	U56	1
U36	U90	1
U36	U84	1
U91	U92	1
U36	U93	1
U91	U92	1
U36	U90	1
U91	U92	1
U36	U60	1
U36	U84	1
U51	U58	1
U94	U84	1
U36	U84	1
U94	U84	1
U94	U84	1
U69	U84	1
U69	U95	1
U87	U8	1
U3	U84	1
U3	U84	1
U48	U86	1
U84	U8	1
U91	U81	1
U96	U88	1
U8	U84	1
U84	U8	1
U91	U47	1
U97	U98	1
U98	U97	1
U97	U98	1
U48	U97	1
U99	U8	1
U99	U8	1
U97	U48	1
U100	U101	1
U102	U97	1
U97	U48	1
U97	U102	1
U101	U100	1
U48	U58	1
U97	U48	1
U103	U72	1
U103	U58	1
U104	U59	1
U104	U59	1
U103	U72	1
U105	U56	1
U106	U72	1
U105	U61	1
U105	U8	1
U105	U33	1
U105	U107	1
U105	U81	1
U44	U102	1
U36	U105	1
U36	U104	1
U34	U108	1
U34	U109	1
U36	U110	1
U111	U112	1
U34	U58	1
U36	U113	1
U36	U109	1
U79	U109	1
U114	U105	1
U101	U115	1
U56	U90	1
U56	U105	1
U56	U68	1
U29	U58	1
U87	U58	1
U44	U116	1
U44	U117	1
U44	U117	1
U44	U79	1
U80	U58	1
U96	U32	1
U118	U100	1
U119	U120	1
U119	U120	1
U120	U119	1
U120	U75	1
U119	U120	1
U120	U119	1
U119	U58	1
U74	U73	1
U118	U120	1
U121	U108	1
U72	U106	1
U44	U92	1
U26	U122	1
U44	U79	1
U1	U123	1
U96	U124	1
U125	U126	1
U36	U104	1
U44	U79	1
U44	U79	1
U36	U124	1
U36	U127	1
U36	U128	1
U44	U79	1
U44	U129	1
U44	U116	1
U9	U120	1
U79	U58	1
U36	U109	1
U124	U109	1
U36	U109	1
U124	U61	1
U124	U72	1
U36	U109	1
U36	U112	1
U124	U85	1
U85	U124	1
U32	U130	1
U36	U112	1
U124	U85	1
U72	U124	1
U124	U8	1
U131	U30	1
U99	U126	1
U103	U72	1
U103	U72	1
U103	U63	1
U103	U117	1
U103	U72	1
U131	U30	1
U69	U95	1
U69	U124	1
U69	U79	1
U132	U30	1
U36	U99	1
U36	U133	1
U36	U60	1
U36	U134	1
U36	U133	1
U36	U81	1
U103	U72	1
U103	U135	1
U133	U135	1
U135	U133	1
U36	U133	1
U103	U135	1
U19	U52	1
U133	U135	1
U103	U135	1
U103	U135	1
U135	U133	1
U133	U135	1
U36	U133	1
U36	U133	1
U36	U133	1
U9	U109	1
U9	U109	1
U62	U136	1
U96	U32	1
U137	U138	1
U96	U137	1
U19	U120	1
U44	U90	1
U96	U137	1
U137	U138	1
U19	U139	1
U44	U60	1
U44	U88	1
U44	U102	1
U44	U90	1
U19	U111	1
U44	U90	1
U9	U32	1
U44	U90	1
U44	U90	1
U103	U63	1
U103	U72	1
U38	U86	1
U140	U105	1
U103	U72	1
U38	U86	1
U38	U101	1
U38	U101	1
U38	U101	1
U103	U101	1
U38	U101	1
U103	U101	1
U38	U61	1
U75	U120	1
U38	U81	1
U44	U141	1
U44	U141	1
U44	U74	1
U44	U127	1
U124	U135	1
U140	U124	1
U19	U82	1
U19	U82	1
U19	U82	1
U105	U56	1
U19	U82	1
U124	U135	1
U105	U58	1
U105	U63	1
U19	U82	1
U105	U61	1
U105	U135	1
U124	U135	1
U71	U72	1
U135	U124	1
U9	U32	1
U63	U105	1
U72	U71	1
U142	U58	1
U124	U135	1
U124	U135	1
U143	U32	1
U144	U99	1
U144	U105	1
U144	U121	1
U9	U109	1
U103	U109	1
U103	U63	1
U103	U63	1
U103	U109	1
U48	U81	1
U95	U81	1
U145	U48	1
U95	U63	1
U145	U95	1
U95	U109	1
U145	U95	1
U145	U48	1
U145	U95	1
U145	U48	1
U145	U48	1
U95	U109	1
U96	U48	1
U95	U109	1
U96	U95	1
U96	U95	1
U96	U48	1
U96	U95	1
U105	U144	1
U105	U63	1
U6	U146	1
U44	U60	1
U44	U105	1
U63	U95	1
U44	U32	1
U114	U105	1
U34	U109	1
U36	U105	1
U36	U109	1
U36	U147	1
U44	U32	1
U19	U120	1
U9	U136	1
U9	U148	1
U9	U149	1
U9	U150	1
U9	U151	1
U9	U152	1
U9	U153	1
U9	U58	1
U9	U58	1
U9	U135	1
U9	U22	1
U9	U8	1
U9	U154	1
U9	U121	1
U1	U135	1
U3	U155	1
U36	U109	1
U3	U155	1
U30	U132	1
U3	U58	1
U68	U56	1
U36	U156	1
U131	U30	1
U101	U51	1
U101	U34	1
U9	U8	1
U36	U73	1
U96	U95	1
U9	U76	1
U9	U8	1
U9	U157	1
U19	U158	1
U9	U58	1
U9	U32	1
U44	U129	1
U105	U135	1
U105	U129	1
U44	U129	1
U44	U129	1
U44	U129	1
U51	U101	1
U1	U159	1
U44	U74	1
U44	U129	1
U160	U72	1
U129	U8	1
U36	U147	1
U36	U109	1
U36	U105	1
U36	U129	1
U9	U8	1
U34	U101	1
U161	U162	1
U163	U72	1
